Integer Speed
86
64
62
59
50
62
68
57
54
51
63
70
42
54
96
74
96
75
26
76
71
71
36
58
44
55
60
70
62
60
65
46
30
46
65
65
74
42
76
17
58
29
67
47
106
19
50
78
61
60
21
61
56
51
92
41
40
72
42
73
53
66
51
56
67
158
65
33
77
74
60
107
61
39
94
63
48
44
33
113
58
41
54
16
48
63
38
77
69
48
92
44
30
96
85
41
64
99
115
133
39
52
65
88
35
80
61
64
59
72
60
77
67
34
44
33
16
15
15
95
36
106
81
78
120
62
38
44
39
87
14
63
33
32
59
59
177
29
61
55
37
72
51
81
74
41
65
101
62
160
86
73
63
35
38
38
83
113
55
80
26
111
214
93
82
61
63
43
31
63
40
109
68
71
68
107
65
7
0
77
34
59
0
20
